nom;hippodrome;partants;victoires
J.B. LELIEVRE;GRAIGNES;34;2
W. SOUCHET;GRAIGNES;1;0
PH. DAUGEARD;GRAIGNES;10;1
M. LEGROS;GRAIGNES;17;0
A.A. DAVID;GRAIGNES;2;1
A. LAMY;GRAIGNES;19;1
D. JAVELLE;GRAIGNES;2;0
F. LECANU;GRAIGNES;18;0
J. GOSSELIN;GRAIGNES;4;1
A. REBECHE;GRAIGNES;20;2
M. MOURO;GRAIGNES;2;0
M. DURVILLE;GRAIGNES;2;0
J.M. MARIE;GRAIGNES;2;0
P. BOUGON BOUGEARD;GRAIGNES;8;0
N. PERRELLE;GRAIGNES;1;0
E. LELIEVRE;GRAIGNES;5;0
A. LEDUC;GRAIGNES;1;0
J.P. GUERANGER;GRAIGNES;1;0
MME S. RINGLER;GRAIGNES;3;0
JULIEN RENAULT;GRAIGNES;2;1
N. RIZZO;GRAIGNES;1;0
J.PH. DERRIAN;GRAIGNES;1;0
T. VALLETTE;GRAIGNES;3;0
H. JOUAULT;GRAIGNES;2;1
J.L. HOCDE;GRAIGNES;3;0
E. SMET;GRAIGNES;1;0
A. MOURAUD;GRAIGNES;1;0
J.PH. BAZIRE;GRAIGNES;3;0
J.B. LELIEVRE;NANTES;1;0
B. ROCHARD;NANTES;16;4
A. GENDROT;NANTES;7;1
R. CONGARD;NANTES;6;2
P. JANNIER;NANTES;3;0
W. PLAIRE;NANTES;3;1
A. THOMAS;NANTES;3;1
H. SIONNEAU;NANTES;3;1
J.F. SENET;NANTES;3;0
E. RAFFIN;NANTES;31;5
A. DABOUIS;NANTES;8;0
G. DONIO;NANTES;3;0
F. JOSEPH;NANTES;3;1
A. COLLETTE;NANTES;15;1
P. BUHIGNE;NANTES;4;0
O. POTIER;NANTES;4;0
O. RAFFIN;NANTES;34;1
J. BRUNEAU;NANTES;2;0
S. TRIBOURDEAU;NANTES;2;0
M. LEGROS;NANTES;7;1
J. TRAVERS;NANTES;6;0
M. BEAUVAIS;NANTES;5;0
A. BARRIER;NANTES;9;2
C. GOURGAND;NANTES;2;0
L. BAUDOUIN;NANTES;5;2
P. VENTURA;NANTES;5;0
J. HOCDE;NANTES;1;0
ANDREA ROUSSEL;NANTES;4;1
A. ANGOT;NANTES;2;0
J. BALU;NANTES;3;0
A. HUBERT;NANTES;3;1
MLLE M. DE MEYER;NANTES;2;0
N. ROUSSEAU;NANTES;3;0
F. DESMIGNEUX;NANTES;4;0
CL. DUVALDESTIN;NANTES;3;3
F.P. BOSSUET;NANTES;2;0
ALEXANDRE CHEVRIER;NANTES;3;0
C. MEGISSIER;NANTES;3;0
E. DOUANEAU;NANTES;3;0
LILIAN BERTIN;NANTES;6;0
J. BESCHER;NANTES;2;0
ET. LEFRANC;NANTES;1;0
J.L.CL. DERSOIR;NANTES;2;0
S. TESSIER;NANTES;2;0
F. GUERINEAU;MAUQUENCHY;1;0
J. GRUMETZ;MAUQUENCHY;2;0
TH. DROMIGNY;MAUQUENCHY;10;0
R. LAMY;MAUQUENCHY;20;3
B. LE BELLER;MAUQUENCHY;4;1
J. DEBOST;MAUQUENCHY;2;0
G. ROIG-BALAGUER;MAUQUENCHY;2;0
S. DIEUDONNE;MAUQUENCHY;2;0
THEO DUVALDESTIN;MAUQUENCHY;7;0
P.PH. PLOQUIN;MAUQUENCHY;11;0
TH. BEAUCHENE;MAUQUENCHY;3;0
CL. THOMAIN;MAUQUENCHY;3;0
G. FAVRIS;MAUQUENCHY;1;0
Y. LEBOURGEOIS;MAUQUENCHY;26;13
PH. DAUGEARD;MAUQUENCHY;2;0
FLORENT PELTIER;MAUQUENCHY;1;0
M. VERVA;MAUQUENCHY;10;1
V. VIEL;MAUQUENCHY;2;0
F. VANDENABEELE;MAUQUENCHY;1;0
F. GIARD;MAUQUENCHY;4;0
LAURENT VERVA;MAUQUENCHY;1;0
P.Y. VERVA;MAUQUENCHY;30;0
F. OUVRIE;MAUQUENCHY;17;2
D. BERTRAND;MAUQUENCHY;4;0
A. ANDRE;MAUQUENCHY;9;0
A. GALLARD;MAUQUENCHY;1;0
JULIEN RAFFESTIN;MAUQUENCHY;7;0
GUILLAUME MARTIN;MAUQUENCHY;2;0
G. GELORMINI;MAUQUENCHY;12;2
B. GOOP;MAUQUENCHY;1;0
ANTHONY DOLLION;MAUQUENCHY;4;0
M. CLAEYSSENS;MAUQUENCHY;2;0
MLLE L. DARLAY;MAUQUENCHY;3;0
M. DURAND;MAUQUENCHY;2;0
A. LAIR;MAUQUENCHY;3;0
F. CHAPDELAINE;MAUQUENCHY;1;1
JULIEN RENAULT;MAUQUENCHY;2;0
MME P. CAVANIE;MAUQUENCHY;5;0
M. BRIDAULT;MAUQUENCHY;3;0
MLLE L. LEFEBVRE;MAUQUENCHY;1;0
J. ROUX;MAUQUENCHY;2;0
