nom;nb_courses;nb_victoires;gains_total;somme_distances;derniere_date
MONTSECRET;5;0;0;12800.0;2026-05-15
MEA MARIS;7;0;0;17375.0;2026-06-13
MACHINE DE GUERRE;7;0;0;17575.0;2026-07-13
MIRA D'HAVAROCHE;5;1;0;12375.0;2026-06-17
MADEMOISELLE DELF;2;1;0;4725.0;2026-01-17
MISS YOU LORD;4;0;0;9250.0;2026-06-01
MAMBO MIX;4;0;0;10125.0;2026-04-19
MUST MAJYC;7;1;0;17675.0;2026-07-13
MIFASOL DES PLANS;1;0;0;2150.0;2026-01-09
MATIN D'AVRIL;3;0;0;6950.0;2026-02-19
MOTTEAUX DAIRPET;4;2;0;9050.0;2026-05-18
MANHATTAN GABINLEA;5;0;0;11425.0;2026-06-13
MIKADO PIEMONT;6;2;0;15750.0;2026-06-20
MONA LISA ELLIS;4;0;0;9675.0;2026-06-17
MAESTRO DE JOUDES;6;0;0;15300.0;2026-04-29
MOOREA;4;0;0;10175.0;2026-04-05
MOOREA DE SAUSSEAU;5;0;0;13250.0;2026-06-05
MADGIK SAUTREUIL;7;0;0;17750.0;2026-07-14
LUCKY DE FLEUR;2;0;0;5350.0;2026-03-29
LECHARM DE L'AUMOY;5;0;0;13275.0;2026-04-13
LOOKING FOREXPRESS;5;0;0;13625.0;2026-05-23
LOS ALAMOS;6;1;0;16225.0;2026-07-13
LOVE LAND;4;0;0;10900.0;2026-06-16
LEEROY DU PADOUENG;3;0;0;8200.0;2026-03-03
LEWIS DE BLARY;7;2;0;19250.0;2026-06-05
LUIGI PAN;5;0;0;13550.0;2026-06-20
LOUSTIC VAUCEEN;3;0;0;8275.0;2026-02-14
LIEVRE D'ALBRET;5;0;0;13075.0;2026-05-23
LUTTEUR DU RIEU;5;0;0;14375.0;2026-03-26
LORD DU VIVIER;1;0;0;2950.0;2026-01-09
LOUISDOR DECHAMBOU;7;2;0;18550.0;2026-05-23
LOCKWOOD EFJI;6;0;0;15575.0;2026-06-20
INCA DE MONE;8;0;0;21375.0;2026-05-30
HARCOURT DE PADD;3;0;0;8100.0;2026-03-22
ROSSI GARLINE;7;0;0;17650.0;2026-06-20
ITALO DUEM;8;0;0;21250.0;2026-05-23
IKY JOY;3;0;0;8150.0;2026-06-17
DIVA DEL RONCO;6;1;0;14200.0;2026-04-04
IGGY ROCK;7;0;0;18350.0;2026-05-23
GIBUS DARCHE;1;0;0;2950.0;2026-01-09
IVRAM;2;0;0;5850.0;2026-04-11
