nom;partants;victoires
MME M. HERGNO;4;1
L. PEJUS;3;0
N. POST;2;0
R. BEAURAIN;4;0
V. GOUIN;3;0
A. LAVIELLE;6;0
S. BROUARD;2;0
J.PH. GUIBOUT;18;0
P. TOUVAIS;1;0
P. FERCHAUD;5;0
W. MICHEL;3;0
R. LAGADEUC;8;0
MME E. LE BELLER;12;0
MME LILAS VIEL;8;0
MLLE CLARA DERSOIR;4;1
T. FLEURY;4;0
MAXENCE DUVEAU;12;0
B.TH. MARIE;3;1
J.M. BERTRAND;5;1
T. ENGELEN;2;0
A. MONNIER;4;0
F. WASSELIN;8;0
MLLE L. MATHIEU PAVARD;7;1
MLLE M. TRIHOLLET;19;1
DAVID LEFEVRE;45;1
L. GELORMINI;16;0
MLLE CH. DELAMARE;8;0
L. ROELENS;3;0
Y. HALLAIS;2;0
V. BALEDENT;3;0
A. GODART;3;0
L. SWITA;7;0
X. FORGET;1;0
E. PELTIER;5;1
MLLE A. POULAIN;2;0
T. THURMES;24;1
M. ROTHENGATTER;13;3
D.P. TESSELAAR;2;0
N. RAIMBEAUX;17;0
MME LEA LE GUERCH;6;1
J. VILAULT;15;0
M. DABOUIS;1;0
A. CHARRIE;10;1
A. GUARATO;42;7
G. LAVARDE;2;0
B. OLICARD;5;0
A. LEVEAU;4;0
MME A. DEVIDE;1;0
S. DESMARRES;11;0
MATHEO DUVAL;6;1
N. GUILBERT;6;1
J. OGER;1;0
J. MOREAU;1;0
ANDRE X. ROBIN;3;0
MLLE A. RENAUDIN;19;5
L.J. MARTIN;6;0
T. MARCHAND;2;0
S. GUEN;2;0
F. LE GALL;4;0
J.M. JARRY;2;0
L. TAUGOURDEAU;9;2
D. EOCHE;10;0
MME E. LEPAGE;11;0
J. GIROUARD;3;0
GUILLAUME LEMOINE;39;1
MLLE F. MOULIN;8;0
B. SEMET;3;0
J. ROULLAND;3;0
L. GUELPA;3;0
P. LABROUSSE;1;0
R. GONCET;4;0
MLLE E. CALLIER;2;0
MME T. MATHIAS-MAISONNETTE;20;1
J. HUGUET;2;0
E. LAMY;7;0
Q. LUC;10;1
H. MOREL;14;1
D. HUE;6;0
A. BLANDIN;1;0
K. VANDERSCHELDEN;15;0
B. GONTIER;2;0
P. SORAIS;5;1
B. DELASALLE;3;0
M. LEBREC;10;1
V. COLIGNY;3;0
MLLE JULIE REZE;2;0
P. VERVA;23;2
V. MARC-MARTIN;6;1
P.Y. GOUIN;7;0
DENIS AVENEL;4;0
ST.Y. FOURNIER;3;0
J.F. NOEL;6;1
E. DAL GRANDE;4;0
E. LETOUZE;14;0
B. VALLETTE;13;0
H. LE BELLER-ESARTIAL;10;1
SIMONE MOLLO;1;0
SANTO MOLLO;1;0
L. BECCHETTI;2;0
MME CH. FARRUGIA;4;1
G. HORRACH VIDAL;21;0
N. D'HAENENS;32;0
